#{"t_start": 1767979687.5793977, "env_id": "None"}
r,l,t
9885.093,1514,1.169271
-235.92978,1407,2.233839
-236.32986,1367,6.503109
-235.74976,1425,7.70658
9905.033,1513,8.863439
-235.9999,1400,13.086546
-236.11987,1388,14.151661
-235.64977,1435,15.241247
-235.11975,1488,19.514961
-234.82974,1517,20.715594
-235.71979,1428,21.78743
-236.80997,1319,25.8698
15.000351,3000,28.159828
-234.60979,1539,32.581388
-221.88982,1311,33.657559
9970.564,2073,38.345736
9860.493,1062,39.152771
-236.69987,1330,40.155806
-235.8398,1416,44.297549
-234.8298,1517,45.543143
-234.8798,1512,46.715318
-236.7699,1323,50.87248
-235.35977,1464,51.980925
-234.76979,1523,53.139646
-234.5598,1544,57.452929
-235.42981,1457,58.561216
9868.769,892,59.24971
0.00046545267,3000,64.636192
-234.5798,1542,65.867077
-234.5898,1541,70.199959
-226.74983,1325,71.211988
9874.761,994,72.00451
9912.622,1281,76.166613
-235.6898,1431,77.264335
-235.0598,1494,78.434029
-234.3298,1567,82.814459
49.99654,3000,85.111207
54.995853,3000,90.522829
9861.859,1199,94.409062
-4.9994717,3000,96.739536
90.00319,3000,102.077684
9897.553,2763,107.320525
10074.687,2494,109.268886
10224.373,3000,114.629414
110.00301,3000,120.01977
-235.0698,1493,121.199074
-234.53983,1546,122.403068
10309.388,3000,128.053624
20180.893,2125,132.907201
-234.92978,1507,134.155283
-235.13977,1486,135.335087
-234.6598,1534,139.691773
9887.993,2807,145.033129
-235.23978,1476,146.226946
25.000622,3000,151.642722
-237.13992,1286,152.671109
-234.96979,1503,153.838652
9903.329,1349,157.969386
105.00311,3000,160.337188
9960.642,2579,165.33331
9962.606,1287,166.414375
-234.40979,1559,170.762391
10045.655,2586,172.818459
-234.3098,1569,177.229912
-236.24986,1375,178.478857
9881.109,1130,179.497168
85.00142,3000,184.779022
-236.27983,1372,185.861344
9890.423,1062,189.677265
-234.8598,1514,190.843941
-234.79979,1520,192.008469
-234.44978,1555,196.316837
9891.4375,1159,197.246801
-235.3398,1466,198.372025
-236.3899,1361,202.563758
-235.51979,1448,203.689757
-234.78978,1521,204.914111
10094.349,2464,209.813677
69.99918,3000,215.195779
-235.23979,1476,216.376638
-235.3798,1462,220.635523
9907.246,2735,222.835457
-234.9698,1503,227.289056
9920.9,2102,228.897343
9974.578,1488,230.073503
-234.98979,1501,234.316454
-234.87979,1512,235.522538
9921.546,1176,236.464555
-236.71,1329,240.587411
9913.079,1324,241.617715
-235.1098,1489,242.75798
9859.1045,930,246.584626
9910.212,1042,247.399218
9911.263,1143,248.286944
-232.36981,1263,252.436353
9970.8,1601,253.685306
-234.4798,1552,254.894686
10339.362,3000,260.25588
10061.962,2224,264.999563
10.000529,3000,267.337362
-234.83981,1516,271.549672
-234.6098,1539,272.750672
-236.23979,1376,273.815641
9905.353,1054,277.774446
-234.9698,1503,279.064441
-235.31978,1468,280.198457
9944.935,1513,284.411949
-234.5098,1549,285.621749
139.99858,3000,290.978207
9858.576,874,291.650858
-234.47981,1552,292.818814
-235.70982,1429,297.079165
-234.4298,1557,298.265266
9879.85,1002,299.053161
-234.8998,1510,303.197046
-234.9298,1507,304.474914
-234.5998,1540,308.742659
85.00347,3000,311.088215
9971.945,1220,315.157821
-235.69978,1430,316.291088
10154.965,3000,321.814996
10324.488,3000,324.231653
9995.007,1531,328.419248
-4.9994545,3000,330.70803
20669.365,3000,336.047803
20288.78,1917,340.498263
9979.525,2968,342.796562
10026.626,1692,347.124472
-235.30975,1469,348.222091
-235.7298,1427,352.450902
9967.104,1732,353.811122
10319.532,3000,359.23042
39.999077,3000,361.577904
9858.859,901,365.385702
25.000591,3000,367.734723
9920.411,1553,372.116525
20135.17,1034,372.97158
9879.536,970,373.761672
20187.93,1820,378.199265
9985.773,1604,379.431001
20134.824,1507,380.560718
9889.951,1012,384.332449
9891.774,2185,386.013984
10244.847,3000,391.444852
20351.05,2142,393.078043
10015.18,1544,397.350115
9970.639,1585,398.593154
20359.008,2448,403.670443
9911.275,1148,404.550284
20213.22,2368,409.453456
9922.951,1313,410.453813
10049.577,1987,411.968752
9904.293,1442,416.146297
20143.752,1395,417.224337
10008.254,1855,421.769082
20387.014,1725,423.117995
20313.848,2412,428.074624
9870.3,1047,428.917978
20260.633,1593,430.134649
10058.585,1883,434.667532
20148.916,2436,436.564793
9966.965,1718,441.013456
20118.865,1927,442.529556
10015.906,1614,446.954277
9972.7,1297,447.959444
10035.862,1602,449.168561
