#{"t_start": 1767980465.3262973, "env_id": "None"}
r,l,t
9957.504,1272,0.978673
54.996655,3000,6.629924
9899.94,2001,8.224061
-236.61993,1338,9.287112
9937.147,2726,14.60834
10039.646,1986,19.409344
-237.25998,1274,20.410263
-236.58995,1341,21.428097
-235.27974,1472,25.746921
9857.733,789,26.389534
-236.60995,1339,27.492551
-235.7298,1427,28.659636
-235.15976,1484,33.100969
-237.14998,1285,34.082529
-236.05988,1394,35.145635
-237.01001,1299,39.641423
49.99608,3000,41.950074
-235.40979,1459,46.299796
-237.16997,1283,47.277112
-237.63995,1236,48.274035
-237.38004,1262,52.630777
-235.82979,1417,53.750484
-237.54996,1245,54.729887
-235.75983,1424,59.344432
-4.9993916,3000,61.677146
-235.87979,1412,66.2
-237.07997,1292,67.208879
-235.86977,1413,68.379531
-236.11984,1388,72.731079
-236.70995,1329,73.775105
-234.66978,1533,74.954594
-237.91998,1208,79.244136
-236.54987,1345,80.366002
-236.21983,1378,81.43234
-236.91,1309,85.724815
-236.8399,1316,86.737861
9868.426,857,87.390818
-235.7498,1425,91.866566
-235.13977,1486,93.066628
-236.65994,1334,94.114776
-236.69992,1330,98.529367
-235.56978,1443,99.629448
-235.2698,1473,100.780348
-235.57979,1442,105.138963
-235.4798,1452,106.245246
-236.32988,1367,107.298737
-234.8798,1512,111.739444
-235.43982,1456,112.881259
-236.36993,1363,113.940482
5.00036,3000,119.689519
-4.9994545,3000,125.380687
-236.51993,1348,126.410956
-236.68,1332,130.645782
-4.999384,3000,133.028652
15.000507,3000,138.5896
-236.17984,1382,139.710333
10016.242,1653,144.050515
9923.66,1384,145.156434
-235.98982,1401,146.239472
-234.5698,1543,150.546038
9974.129,1421,151.627913
-4.9994907,3000,157.159692
9893.462,1358,158.261515
-235.5098,1449,162.453789
-4.9994507,3000,164.777658
-235.02982,1497,169.407406
-235.42982,1457,170.525973
-235.25974,1474,171.640689
39.997494,3000,177.03204
49.995758,3000,182.448079
9890.776,2087,184.066774
10017.789,2790,189.261072
-4.9994545,3000,194.611456
-235.4498,1455,195.721822
9962.227,2240,200.516624
-4.99942,3000,202.800055
-234.7898,1521,207.135774
9905.785,1098,208.037901
9870.11,1028,208.870605
-236.7799,1322,212.871399
-235.53976,1446,214.007113
-235.2398,1476,215.138467
9859.5625,971,219.091223
9892.014,1220,220.019013
9880.615,1078,220.846064
20244.877,1516,225.006291
-234.74979,1525,226.194917
20306.865,2740,231.463788
10239.371,3000,233.789895
10077.695,1795,238.241883
10304.372,3000,240.514874
9859.628,977,244.359779
-235.39978,1460,245.477032
-234.77977,1522,246.71723
69.99913,3000,252.282757
20131.51,2709,257.355778
9858.53,866,258.055385
