#{"t_start": 1767978122.452152, "env_id": "None"}
r,l,t
-235.30978,1469,8.117136
15.000423,3000,13.74235
-236.50984,1349,14.768358
-237.71999,1228,15.728243
-235.78983,1421,20.078274
10.000334,3000,22.432081
-235.19983,1480,26.780181
9857.487,765,27.378863
-231.07974,1392,28.467944
-234.75977,1524,32.894283
-234.99977,1500,34.038667
-236.55005,1345,35.067573
-237.15997,1284,39.31439
-235.8098,1419,40.404976
-4.9994564,3000,45.931094
-236.85997,1314,46.956575
-220.52979,1447,48.066776
-234.80978,1519,52.452951
-234.2398,1576,53.665539
-235.0498,1495,54.798513
-236.7699,1323,58.979964
-235.5398,1446,60.085299
9870.831,1101,61.007113
-235.3098,1469,65.368756
5.0003953,3000,67.700617
15.000458,3000,73.238243
-236.21982,1378,77.493692
-235.35977,1464,78.618313
-237.11003,1289,79.664155
5.0003953,3000,85.370832
-234.78981,1521,86.572309
9906.01,1611,91.220368
10109.999,3000,93.572682
10.000332,3000,99.481368
-234.86975,1513,104.272097
-230.27982,1472,105.537601
9893.092,2815,111.462234
10149.896,3000,113.920877
39.999077,3000,119.605961
20.00067,3000,125.396213
-234.70981,1529,126.648297
9896.117,2115,132.025078
9858.779,895,132.80256
25.000595,3000,138.647886
-235.00981,1499,139.826979
-234.7698,1523,141.075788
-234.55981,1544,145.559574
9890.488,2054,147.169783
-234.80981,1519,151.692441
-235.17981,1482,152.870367
-234.93979,1506,154.04531
-235.2698,1473,158.362051
9926.248,1147,159.271191
-234.42981,1557,160.500364
9859.506,966,164.69182
10044.321,2448,166.611572
9935.646,1581,171.205708
30.00061,3000,173.504405
10008.248,1851,178.108532
9977.883,1311,179.138139
9966.963,2210,184.091228
-234.69978,1530,185.346361
9929.586,1471,186.538567
10032.457,1763,191.197383
9919.876,1006,191.975704
10043.129,1339,193.021901
9869.332,951,196.912992
9939.878,1998,198.455132
-234.70981,1529,199.614086
-234.29979,1570,204.092561
-234.6798,1532,205.270598
-235.3598,1464,209.579964
9881.028,1116,210.444431
9893.162,1330,211.511755
-235.2498,1475,215.790396
-234.7998,1520,216.968994
-234.6098,1539,218.154739
-234.77979,1522,222.649226
9930.253,1540,223.845987
9894.601,1466,224.990914
-235.9398,1406,229.278677
-234.9798,1502,230.449822
9870.154,1032,231.30654
9973.488,1376,235.59559
9912.136,1227,236.52868
-234.93979,1506,237.662361
9859.025,919,241.463061
-234.56981,1543,242.638602
-235.90977,1409,243.740575
9903.084,1317,247.975533
9870.178,1030,248.757992
9894.773,1485,249.889284
-234.71976,1528,254.355449
-234.7898,1521,255.552362
-234.7598,1524,256.779471
5.000402,3000,262.114685
-230.3998,1460,263.230938
-236.48985,1351,267.332954
9945.911,1113,268.213773
-234.52979,1547,269.431836
9903.051,1322,273.802502
-234.7198,1528,274.996871
-234.94977,1505,276.170709
10016.303,1145,280.275808
-235.35979,1464,281.445195
9960.257,1547,282.687142
